LobCode,LobName,VPremium,VReserve,VTotal,SigmaPremium,SigmaReserve,SigmaLob,ScrStandalone,ScrAllocated,DiversificationCredit,ShareOfTotal,ScenarioKey
MTPL,Motor vehicle liability,139200000.0,138640000.0,277840000.0,0.1,0.09,0.08232207488354977,68617095.8569364,58779551.291306995,9837544.5656294,0.4317408190916278,1
MOTOR_OTHER,Other motor,85300000.0,31500000.0,116800000.0,0.08,0.08,0.07169008303283146,25120205.094704144,15377866.616471767,9742338.478232376,0.11295174228148983,1
FIRE,Fire and other damage to property,123400000.0,58900000.0,182300000.0,0.08,0.1,0.07567048586551119,41384188.71984807,23827645.02820647,17556543.691641595,0.1750160856199634,1
GL,General liability,58100000.0,87300000.0,145400000.0,0.14,0.11,0.10576508459556568,46134729.90058575,34273020.60680755,11861709.293778196,0.2517382604061439,1
LEGAL,Legal expenses,23000000.0,12700000.0,35700000.0,0.07,0.12,0.07603541231636393,8143392.659082578,3887373.85217333,4256018.806909248,0.02855309260077496,1
MTPL,Motor vehicle liability,129158460.0,128638857.0,257797317.0,0.1,0.09,0.08232207488354978,63667230.104556665,54876582.49709312,8790647.607463546,0.4411401400514292,2
MOTOR_OTHER,Other motor,81012608.75,29916731.25,110929340.0,0.08,0.08,0.07169008303283146,23857600.786131576,14775164.251665935,9082436.53446564,0.11877412423793052,2
FIRE,Fire and other damage to property,107777560.0,51443260.0,159220820.0,0.08,0.1,0.07567048586551119,36144950.427915305,20437663.90698228,15707286.520933025,0.1642936478183164,2
GL,General liability,51767826.25,77785391.25,129553217.5,0.14,0.11,0.10576508459556566,41106621.02554566,30405241.738750692,10701379.286794964,0.24442069802070024,2
LEGAL,Legal expenses,23000000.0,12700000.0,35700000.0,0.07,0.12,0.07603541231636393,8143392.659082578,3902511.9413026357,4240880.717779942,0.03137138987162352,2
MTPL,Motor vehicle liability,139200000.0,138640000.0,277840000.0,0.08000000000000002,0.09,0.07364301866236758,61382928.91545662,51895456.132081605,9487472.783375017,0.40858575915300116,3
MOTOR_OTHER,Other motor,85300000.0,31500000.0,116800000.0,0.08,0.08,0.07169008303283146,25120205.094704144,15569377.894671008,9550827.200033136,0.12258156225553427,3
FIRE,Fire and other damage to property,123400000.0,58900000.0,182300000.0,0.08,0.1,0.07567048586551119,41384188.71984807,24624090.7247281,16760097.995119967,0.19387155547122545,3
GL,General liability,58100000.0,87300000.0,145400000.0,0.11200000000000002,0.11,0.096543648114669,42112339.30761862,31001470.53506911,11110868.772549506,0.2440822437554424,3
LEGAL,Legal expenses,23000000.0,12700000.0,35700000.0,0.07,0.12,0.07603541231636393,8143392.659082578,3922000.4456483643,4221392.213434214,0.030878879364796677,3
MTPL,Motor vehicle liability,129158460.0,128638857.0,257797317.0,0.08000000000000002,0.09,0.07364301866236757,56954917.88081787,48466196.32830294,8488721.552514926,0.4177862979259541,4
MOTOR_OTHER,Other motor,81012608.75,29916731.25,110929340.0,0.08,0.08,0.07169008303283146,23857600.786131576,14969269.920011507,8888330.866120068,0.12903748047758,4
FIRE,Fire and other damage to property,107777560.0,51443260.0,159220820.0,0.08,0.1,0.07567048586551119,36144950.427915305,21113763.93750925,15031186.490406055,0.18200399327774885,4
GL,General liability,51767826.25,77785391.25,129553217.5,0.11200000000000002,0.11,0.096543648114669,37522620.72732954,27516752.284843814,10005868.442485724,0.23719876819211028,4
LEGAL,Legal expenses,23000000.0,12700000.0,35700000.0,0.07,0.12,0.07603541231636393,8143392.659082578,3941164.1708262116,4202228.488256366,0.03397346012660677,4
